Date,Apple,Boeing,Nvdia,Palantir,Pfizer,Tesla,Netflix,Meta,Intel,LMT,Rivian
6/28/2024,$210.62 ,$182.01 ,$123.54 ,$25.33 ,$27.98 ,$197.88 ,$674.88 ,$504.22 ,$30.97 ,$467.10 ,$13.42
6/21/2024,$207.49 ,$176.56 ,$126.57 ,$23.84 ,$27.74 ,$183.01 ,$686.12 ,$494.78 ,$31.09 ,$467.60 ,$10.32
6/14/2024,$212.49 ,$177.27 ,$131.88 ,$23.57 ,$27.53 ,$178.01 ,$669.38 ,$504.16 ,$30.45 ,$458.34 ,$10.88
6/7/2024,$196.89 ,$190.24 ,$120.89 ,$23.31 ,$28.58 ,$177.48 ,$641.47 ,$492.96 ,$30.74 ,$470.13 ,$11.52
5/31/2024,$192.25 ,$177.61 ,$109.63 ,$21.68 ,$28.66 ,$178.08 ,$641.62 ,$466.83 ,$30.85 ,$470.34 ,$10.92
5/24/2024,$189.98 ,$174.52 ,$106.47 ,$21.01 ,$28.88 ,$179.24 ,$646.75 ,$478.22 ,$30.72 ,$467.35 ,$10.44
5/17/2024,$189.87 ,$184.95 ,$92.48 ,$21.76 ,$28.64 ,$177.46 ,$621.10 ,$471.91 ,$31.83 ,$466.20 ,$10.50
5/10/2024,$183.05 ,$178.51 ,$89.88 ,$20.60 ,$28.01 ,$168.47 ,$610.87 ,$476.20 ,$29.85 ,$468.88 ,$9.99
5/3/2024,$183.38 ,$179.79 ,$88.79 ,$23.33 ,$27.81 ,$181.19 ,$579.34 ,$451.96 ,$30.90 ,$461.91 ,$10.07
4/26/2024,$169.30 ,$167.22 ,$87.74 ,$22.52 ,$25.40 ,$168.29 ,$561.23 ,$443.29 ,$31.88 ,$461.29 ,$9.04
4/19/2024,$165.00 ,$169.82 ,$76.20 ,$20.47 ,$26.00 ,$147.05 ,$555.04 ,$481.07 ,$34.20 ,$463.87 ,$8.63
4/12/2024,$176.55 ,$169.55 ,$88.19 ,$22.67 ,$25.86 ,$171.05 ,$622.83 ,$511.90 ,$35.69 ,$450.40 ,$9.13
4/5/2024,$169.58 ,$183.14 ,$88.01 ,$22.96 ,$26.66 ,$164.90 ,$636.18 ,$527.34 ,$38.71 ,$455.38 ,$10.10
3/22/2024,$172.28 ,$188.85 ,$94.29 ,$24.18 ,$27.36 ,$170.83 ,$628.01 ,$509.58 ,$42.57 ,$445.88 ,$10.80
3/15/2024,$172.62 ,$182.53 ,$87.84 ,$23.49 ,$27.94 ,$163.57 ,$605.88 ,$484.10 ,$42.64 ,$435.82 ,$11.04
3/8/2024,$170.73 ,$198.49 ,$87.53 ,$26.04 ,$27.22 ,$175.34 ,$604.82 ,$505.95 ,$44.00 ,$432.90 ,$12.78
3/1/2024,$179.66 ,$200.00 ,$82.28 ,$24.93 ,$26.59 ,$202.64 ,$619.34 ,$502.30 ,$43.82 ,$426.46 ,$11.35
2/23/2024,$182.52 ,$200.83 ,$78.82 ,$22.97 ,$27.76 ,$191.97 ,$583.56 ,$484.03 ,$42.99 ,$431.12 ,$10.07
2/16/2024,$182.31 ,$203.89 ,$72.61 ,$24.44 ,$27.62 ,$199.95 ,$583.95 ,$473.32 ,$43.51 ,$424.07 ,$16.30
2/9/2024,$188.85 ,$209.20 ,$72.13 ,$24.38 ,$27.56 ,$193.57 ,$561.32 ,$468.11 ,$43.31 ,$426.50 ,$16.68
2/2/2024,$185.85 ,$209.38 ,$66.16 ,$17.02 ,$26.93 ,$187.91 ,$564.64 ,$474.99 ,$42.60 ,$425.97 ,$15.60
1/26/2024,$192.42 ,$205.47 ,$61.03 ,$16.35 ,$27.47 ,$183.25 ,$570.42 ,$394.14 ,$43.65 ,$429.91 ,$15.29
1/19/2024,$191.56 ,$215.02 ,$59.49 ,$16.78 ,$28.28 ,$212.19 ,$482.95 ,$383.45 ,$48.15 ,$457.76 ,$15.48
1/12/2024,$185.92 ,$217.70 ,$54.71 ,$16.76 ,$28.70 ,$218.89 ,$492.16 ,$374.49 ,$47.12 ,$463.18 ,$18.06
1/5/2024,$181.18 ,$249.00 ,$49.10 ,$15.98 ,$29.47 ,$237.49 ,$474.06 ,$351.95 ,$46.89 ,$456.50 ,$19.08
12/29/2023,$192.53 ,$260.66 ,$49.52 ,$17.17 ,$28.79 ,$248.48 ,$486.88 ,$353.96 ,$50.25 ,$453.24 ,$23.46
12/22/2023,$193.60 ,$260.44 ,$48.83 ,$17.41 ,$28.40 ,$252.54 ,$486.76 ,$353.39 ,$48.00 ,$448.22 ,$23.21
12/15/2023,$197.57 ,$264.27 ,$48.89 ,$18.20 ,$26.63 ,$253.50 ,$472.06 ,$334.92 ,$46.16 ,$441.81 ,$22.83
12/8/2023,$195.71 ,$244.70 ,$47.51 ,$17.77 ,$28.78 ,$243.84 ,$453.76 ,$332.75 ,$42.70 ,$448.02 ,$19.04
12/1/2023,$191.24 ,$233.87 ,$46.77 ,$20.27 ,$28.91 ,$238.83 ,$465.74 ,$324.82 ,$43.74 ,$449.41 ,$18.03
11/24/2023,$189.97 ,$220.00 ,$47.78 ,$19.20 ,$30.50 ,$235.45 ,$479.56 ,$338.23 ,$43.96 ,$452.01 ,$16.43
11/17/2023,$189.69 ,$208.04 ,$49.30 ,$20.49 ,$29.92 ,$234.30 ,$465.91 ,$335.04 ,$43.81 ,$444.68 ,$16.70
11/10/2023,$186.40 ,$196.65 ,$48.34 ,$19.67 ,$29.48 ,$214.65 ,$447.24 ,$328.77 ,$38.86 ,$444.87 ,$15.40
11/3/2023,$176.65 ,$195.05 ,$45.01 ,$18.89 ,$31.26 ,$219.96 ,$432.36 ,$314.60 ,$38.14 ,$453.34 ,$17.71
10/27/2023,$168.22 ,$179.69 ,$40.50 ,$15.07 ,$30.11 ,$207.30 ,$397.87 ,$296.73 ,$35.54 ,$443.39 ,$16.01
10/20/2023,$172.88 ,$180.04 ,$41.39 ,$16.11 ,$30.65 ,$211.99 ,$400.96 ,$308.65 ,$34.92 ,$444.17 ,$16.72
10/13/2023,$178.85 ,$184.91 ,$45.46 ,$17.36 ,$32.11 ,$251.12 ,$355.68 ,$314.69 ,$35.97 ,$441.06 ,$19.30
10/6/2023,$177.49 ,$187.38 ,$45.76 ,$16.61 ,$33.13 ,$260.53 ,$381.51 ,$315.43 ,$36.19 ,$400.73 ,$18.92
9/29/2023,$171.21 ,$191.68 ,$43.50 ,$16.00 ,$33.17 ,$250.22 ,$377.60 ,$300.21 ,$35.55 ,$408.96 ,$24.28
9/22/2023,$174.79 ,$197.71 ,$41.61 ,$14.13 ,$32.69 ,$244.88 ,$379.81 ,$299.08 ,$34.18 ,$413.65 ,$20.59
